,MSOA21CD_origin,MSOA21CD_dest,dist,same_LA
381,E02000988,E02001029,9136.30881658199,False
382,E02000988,E02001308,9371.418706488625,False
383,E02000988,E02001022,9500.268036056834,False
384,E02000988,E02001163,9654.45471173,False
385,E02000988,E02001026,9726.070801811087,False
386,E02000988,E02001018,9740.479529172637,True
387,E02000988,E02001037,10004.295203405436,False
388,E02000988,E02000992,10095.064190526067,True
389,E02000988,E02001309,10277.935115854989,False
390,E02000988,E02001161,10393.503768793064,False
391,E02000988,E02001314,10548.51636641422,False
392,E02000988,E02001031,10562.27665198113,False
393,E02000988,E02001162,10671.909005581136,False
394,E02000988,E02001293,10998.714196396651,False
395,E02000988,E02001025,11025.658895590032,False
396,E02000988,E02001165,11044.014216121916,False
397,E02000988,E02001038,11079.980116178222,False
398,E02000988,E02001305,11103.365852479466,False
399,E02000988,E02001302,11620.705225671518,False
400,E02000988,E02001313,11664.473312215743,False
401,E02000988,E02001317,11686.206461135327,False
402,E02000988,E02001039,11893.3751890169,False
403,E02000988,E02001169,11939.553584245805,False
404,E02000988,E02001035,11969.44583347798,False
405,E02000988,E02001170,12024.515587847744,False
406,E02000988,E02001299,12064.330393744149,False
407,E02000988,E02001290,12140.046984495026,False
408,E02000988,E02001150,12189.84726243886,False
409,E02000988,E02001043,12320.305620627652,False
410,E02000988,E02001316,12466.187739729048,False
411,E02000988,E02001168,12488.726499129996,False
412,E02000988,E02001315,12732.413448301526,False
413,E02000988,E02001164,12747.793686525903,False
414,E02000988,E02001175,12932.545206960163,False
415,E02000988,E02001042,13046.136230845335,False
416,E02000988,E02001040,13099.391488057938,False
417,E02000988,E02001041,13162.38026880528,False
418,E02000988,E02001320,13204.52783144426,False
419,E02000988,E02001171,13292.394006968005,False
420,E02000989,E02000989,0.0,True
421,E02000989,E02000985,1581.3005886421925,True
422,E02000989,E02000996,2483.7982878963944,True
423,E02000989,E02000993,2541.0219174457748,True
424,E02000989,E02000986,2780.497046324191,True
425,E02000989,E02001021,3258.234237081648,False
426,E02000989,E02000988,3427.7375490457794,True
427,E02000989,E02001030,3450.668517322994,False
428,E02000989,E02001000,3523.381485975871,True
429,E02000989,E02001024,3595.604162315771,False
430,E02000989,E02001028,3628.2406885127266,False
431,E02000989,E02001020,4030.259573872502,False
432,E02000989,E02000994,4090.5804798866698,True
433,E02000989,E02001002,4136.1670434010775,True
434,E02000989,E02000984,4186.082353917119,True
435,E02000989,E02000999,4398.443676281047,True
436,E02000989,E02001023,4879.767277803874,False
437,E02000989,E02001027,5037.585927464705,False
438,E02000989,E02001005,5195.4938643938185,True
439,E02000989,E02000998,5292.031099288039,True
440,E02000989,E02001032,5319.7305571116185,False
441,E02000989,E02001007,5479.164661964603,True
442,E02000989,E02001019,5508.9069596782865,False
443,E02000989,E02001004,5816.999445264227,True
444,E02000989,E02001010,5937.902249473245,True
445,E02000989,E02001022,6089.691752151312,False
446,E02000989,E02000991,6224.939807338397,True
447,E02000989,E02001029,6269.594805890751,False
448,E02000989,E02001001,6270.432360801075,True
449,E02000989,E02001034,6319.574503049507,False
450,E02000989,E02001008,6506.946033677297,True
451,E02000989,E02001026,6626.010769290508,False
452,E02000989,E02001006,6627.882505786658,True
453,E02000989,E02001033,6702.678448160129,False
454,E02000989,E02001012,6715.877535559318,True
455,E02000989,E02000995,6833.54935487134,True
456,E02000989,E02001036,6953.64826450504,False
457,E02000989,E02001015,7007.674379413936,True
458,E02000989,E02001003,7557.946487484585,True
459,E02000989,E02001016,7628.671144600285,True
460,E02000989,E02001025,7775.255910336411,False
461,E02000989,E02001017,7854.098686600896,True
462,E02000989,E02001031,7885.553657952773,False
463,E02000989,E02001009,8421.342394632858,True
464,E02000989,E02001037,8552.559856108783,False
465,E02000989,E02001157,8782.196195719407,False
466,E02000989,E02001159,8984.143111722418,False
467,E02000989,E02001158,9003.037442691439,False
468,E02000989,E02001150,9140.04749611836,False
469,E02000989,E02001038,9241.288901779397,False
470,E02000989,E02001013,9329.061348800433,True
471,E02000989,E02001035,9477.158401395824,False
472,E02000989,E02000990,9539.42612781378,True
473,E02000989,E02001161,9703.921637750487,False
474,E02000989,E02001160,9783.781769384104,False
475,E02000989,E02001039,9813.567582033473,False
476,E02000989,E02000997,9924.061723470591,True
477,E02000989,E02001011,10030.428089272364,True
478,E02000989,E02001163,10216.66915535329,False
479,E02000989,E02001162,10235.951116712016,False
480,E02000989,E02001137,10679.96205564026,False
481,E02000989,E02000987,10752.99339067841,True
482,E02000989,E02001165,10863.910876308257,False
483,E02000989,E02001149,10904.809891887671,False
484,E02000989,E02001040,10926.423674140327,False
485,E02000989,E02001043,11001.46420050031,False
486,E02000989,E02001311,11023.146458841822,False
487,E02000989,E02001303,11329.084676932516,False
488,E02000989,E02001041,11383.359628562508,False
489,E02000989,E02001042,11461.678343243164,False
490,E02000989,E02001151,11645.461668321535,False
491,E02000989,E02001308,11704.293524593908,False
492,E02000989,E02001164,11774.811117055013,False
493,E02000989,E02001014,11828.5513958328,True
494,E02000989,E02001168,12037.77362511497,False
495,E02000989,E02001153,12134.830058368056,False
496,E02000989,E02001138,12140.483917937085,False
497,E02000989,E02001170,12342.617013297886,False
498,E02000989,E02001314,12462.433360443552,False
499,E02000989,E02001048,12586.40005201266,False
500,E02000989,E02001044,12626.35493089134,False
501,E02000989,E02001142,12663.619220279474,False
502,E02000989,E02001171,12692.974758044074,False
503,E02000989,E02001018,12825.279133324622,True
504,E02000989,E02001309,12887.277005150132,False
505,E02000989,E02001169,12978.905749646494,False
506,E02000989,E02001167,13120.422374799751,False
507,E02000989,E02001175,13238.223664415698,False
508,E02000989,E02001155,13377.302402685124,False
509,E02000990,E02000990,0.0,True
510,E02000990,E02000987,1249.5202041924483,True
511,E02000990,E02000997,2530.6349873508448,True
512,E02000990,E02000995,3047.7095985240016,True
513,E02000990,E02000991,3395.8111728105646,True
514,E02000990,E02000992,3945.012534601336,True
515,E02000990,E02001003,4311.962213223432,True
516,E02000990,E02001014,5068.231080367391,True
517,E02000990,E02001001,5140.164319447953,True
518,E02000990,E02001011,5423.320071778983,True
519,E02000990,E02000998,5460.4100576615065,True
520,E02000990,E02000994,5946.846234759941,True
521,E02000990,E02001293,5985.291276532585,False
522,E02000990,E02001290,6137.283955133348,False
523,E02000990,E02000984,6168.15301478253,True
524,E02000990,E02000988,6204.3038669007665,True
525,E02000990,E02001004,6410.44636203378,True
526,E02000990,E02001013,6614.292583050219,True
527,E02000990,E02000986,6796.400016469503,True
528,E02000990,E02001006,6805.368009856996,True
529,E02000990,E02000999,6882.936761613752,True
530,E02000990,E02001018,7089.525928850117,True
531,E02000990,E02001008,7534.749486681987,True
532,E02000990,E02000993,7660.6958649283,True
533,E02000990,E02001009,7736.782692388077,True
534,E02000990,E02001303,7869.170824809429,False
535,E02000990,E02001299,7920.654019499464,False
536,E02000990,E02000985,8068.455459870365,True
537,E02000990,E02001292,8073.880804938169,False
538,E02000990,E02001302,8092.225685832015,False
539,E02000990,E02001005,8121.094454580369,True
540,E02000990,E02001000,8325.747088210243,True
541,E02000990,E02001295,8340.999528110024,False
542,E02000990,E02001305,8357.411178363449,False
543,E02000990,E02001288,8684.3886404415,False
544,E02000990,E02001012,8743.384695818144,True
545,E02000990,E02001298,8838.684167795902,False
546,E02000990,E02001294,9155.730079748591,False
547,E02000990,E02001309,9274.736666387616,False
548,E02000990,E02001291,9289.099557982836,False
549,E02000990,E02000996,9315.074964756188,True
550,E02000990,E02001308,9404.481322584006,False
551,E02000990,E02000989,9539.42612781378,True
552,E02000990,E02001016,9585.473376244106,True
553,E02000990,E02001287,9712.381802723869,False
554,E02000990,E02001002,9750.866171954638,True
555,E02000990,E02001313,9888.401399311297,False
556,E02000990,E02001010,9924.974732675446,True
557,E02000990,E02001157,10025.605677492436,False
558,E02000990,E02001311,10050.87166983235,False
559,E02000990,E02001301,10437.118249199311,False
560,E02000990,E02001312,10437.808280803947,False
561,E02000990,E02001310,10501.36643961456,False
562,E02000990,E02001160,10582.350162432082,False
563,E02000990,E02001015,10669.678948851117,True
564,E02000990,E02001296,10854.31053081985,False
565,E02000990,E02001158,11104.780848092523,False
566,E02000990,E02001316,11106.235739378457,False
567,E02000990,E02001314,11280.138099910837,False
568,E02000990,E02001289,11294.629843566505,False
569,E02000990,E02001317,11295.90434839,False
570,E02000990,E02001007,11313.651164921695,True
571,E02000990,E02001319,11326.97829412386,False
572,E02000990,E02001030,11464.99521870256,False
573,E02000990,E02001306,11467.378975471753,False
574,E02000990,E02001300,11966.430274761911,False
575,E02000990,E02001297,12151.77539518179,False
576,E02000990,E02001159,12364.88540107112,False
577,E02000990,E02001021,12619.133667316308,False
578,E02000990,E02001320,12625.746489668749,False
579,E02000990,E02001017,12645.047969869833,True
580,E02000990,E02001028,12669.328221614256,False
581,E02000990,E02001323,12798.909009382858,False
582,E02000990,E02001163,12921.090275835117,False
583,E02000990,E02001307,13030.79021819118,False
584,E02000990,E02001024,13039.958734257783,False
585,E02000990,E02001318,13166.297354104394,False
586,E02000990,E02001020,13260.444540545286,False
587,E02000990,E02001321,13284.574994919349,False
588,E02000990,E02001032,13375.986521292809,False
589,E02000990,E02001315,13484.474512679642,False
590,E02000990,E02001034,13634.179908339947,False
591,E02000990,E02001036,13642.834032390883,False
592,E02000991,E02000991,0.0,True
593,E02000991,E02000995,1857.0129214563387,True
594,E02000991,E02000984,2854.267906403614,True
595,E02000991,E02000988,3085.644458581737,True
596,E02000991,E02000994,3209.561420849613,True
597,E02000991,E02000990,3395.8111728105646,True
598,E02000991,E02000998,3432.0157910989997,True
599,E02000991,E02000986,3448.9970457429695,True
600,E02000991,E02001001,3779.8299896395806,True
601,E02000991,E02001003,3961.708468450356,True
602,E02000991,E02000999,4545.153044373539,True
603,E02000991,E02000987,4560.62771843236,True
604,E02000991,E02000997,4618.546957740591,True
605,E02000991,E02000993,4673.479360504497,True
606,E02000991,E02000985,4708.132217793352,True
607,E02000991,E02001004,4768.830756889064,True
608,E02000991,E02001006,5545.66070262796,True
609,E02000991,E02001000,5712.824921775577,True
610,E02000991,E02001005,6100.060990452281,True
611,E02000991,E02001008,6120.542018735084,True
612,E02000991,E02000989,6224.939807338397,True
613,E02000991,E02001011,6352.125800463352,True
614,E02000991,E02000996,6407.267556155714,True
615,E02000991,E02001013,6771.79101285617,True
616,E02000991,E02001009,7150.393732683918,True
617,E02000991,E02001014,7157.054998514244,True
618,E02000991,E02001012,7224.137026276889,True
619,E02000991,E02001002,7228.955943320101,True
620,E02000991,E02000992,7336.712089869472,True
621,E02000991,E02001010,7927.406563423939,True
622,E02000991,E02001016,8250.837892514473,True
623,E02000991,E02001030,8538.214371434837,False
624,E02000991,E02001303,8607.964704876218,False
625,E02000991,E02001018,8846.377740875345,True
626,E02000991,E02001015,8887.485703468437,True
627,E02000991,E02001007,8934.212822460599,True
628,E02000991,E02001293,8978.975915784797,False
629,E02000991,E02001157,9029.76869650744,False
630,E02000991,E02001021,9237.968121459133,False
